2025-11-30 11:36:09,183 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 11:36:09,183 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 11:36:11,074 | INFO | shoppingCart | ShoppingCart.py:75 | Stock being displayed
2025-11-30 11:37:21,558 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 11:37:21,558 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 11:37:22,453 | INFO | shoppingCart | ShoppingCart.py:75 | Stock being displayed
2025-11-30 11:37:50,440 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 11:37:50,440 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 11:37:51,269 | INFO | shoppingCart | ShoppingCart.py:75 | Stock being displayed
2025-11-30 11:38:16,852 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 11:38:16,852 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 11:38:19,645 | INFO | shoppingCart | ShoppingCart.py:78 | Cart being displayed
2025-11-30 11:38:25,263 | INFO | shoppingCart | ShoppingCart.py:88 | User logged out
2025-11-30 11:38:26,825 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 4
2025-11-30 11:38:26,825 | INFO | shoppingCart | ShoppingCart.py:46 | User logged out
2025-11-30 11:40:02,280 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 11:40:02,280 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 11:40:03,536 | INFO | shoppingCart | ShoppingCart.py:75 | Stock being displayed
2025-11-30 11:40:07,011 | INFO | shoppingCart | ShoppingCart.py:83 | Changing cart quantity
2025-11-30 11:57:46,767 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 11:57:46,767 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 11:57:49,642 | INFO | shoppingCart | ShoppingCart.py:83 | Changing cart quantity
2025-11-30 12:00:21,186 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:00:21,186 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:00:23,007 | INFO | shoppingCart | ShoppingCart.py:83 | Changing cart quantity
2025-11-30 12:00:24,781 | WARNING | shoppingCart | ShoppingCart.py:142 | User tried to edit item 2 that is not in cart. 3 attempts remaining.
2025-11-30 12:00:58,059 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:00:58,059 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:00:59,607 | INFO | shoppingCart | ShoppingCart.py:83 | Changing cart quantity
2025-11-30 12:01:31,457 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:01:31,457 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:01:32,921 | INFO | shoppingCart | ShoppingCart.py:84 | Changing cart quantity
2025-11-30 12:01:35,646 | INFO | shoppingCart | ShoppingCart.py:75 | Stock being displayed
2025-11-30 12:01:37,513 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:02:39,676 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:02:39,676 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:02:41,725 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:04:29,826 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
